SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,personid,prtn,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient,type
62,2.27272727,0,0.44,1,4,4,FALSE,1O1R3WdhuPaX1Q/f,10.25,4,0,0,8,r,0.74545455,TRUE,0,1O1R3WdhuPaX1Q/f,0,0.48809524,person
63,2.66666667,0.0022096,0.375,0.33333333,3,4,FALSE,2qbRGC2e6l2x9Z1i,4.33333333,3,0,0,25,b,0.66666667,TRUE,0,2qbRGC2e6l2x9Z1i,6,0.5,person
64,2.75757576,0,0.36263736,1,2,5,FALSE,4sViItG94tXtwdL/,10.5,2,0,0,27,b,0.64848485,TRUE,0,4sViItG94tXtwdL/,0,0.61764706,person
65,1.93939394,0.0458634,0.515625,0.6,5,3,FALSE,59XNdspigP0DZRXw,11.6,5,0,0,14,r,0.81212121,TRUE,0,59XNdspigP0DZRXw,308,0.39310345,person
66,2.6969697,0,0.37078652,1,2,5,FALSE,7eGUsAtHWWg0tz5U,14.5,2,0,0,21,b,0.66060606,TRUE,0,7eGUsAtHWWg0tz5U,0,0.80555556,person
67,2.66666667,0.00384049,0.375,0.33333333,3,4,FALSE,7PA/qoeSB/9YwaL/,4.66666667,3,0,0,26,b,0.66666667,TRUE,0,7PA/qoeSB/9YwaL/,28,0.54166667,person
68,2.66666667,0,0.375,1,2,4,FALSE,8drZrkFnsP2IgnkT,12.5,2,0,0,18,r,0.66666667,TRUE,0,8drZrkFnsP2IgnkT,0,0.73529412,person
69,2.18181818,0.01441198,0.45833333,0.5,4,4,FALSE,bG6u5GgxIObgIl5L,10.75,4,0,0,31,b,0.76363636,TRUE,0,bG6u5GgxIObgIl5L,108,0.45652174,person
70,2.18181818,0.02233345,0.45833333,0.16666667,4,4,FALSE,c4ZqxaDGTZZ0tXTm,8.75,4,0,0,28,b,0.76363636,TRUE,0,c4ZqxaDGTZZ0tXTm,92,0.375,person
71,2.6969697,0,0.37078652,1,2,4,FALSE,c61+ILGW78ZMQ8ds,11,2,0,0,13,r,0.66060606,TRUE,0,c61+ILGW78ZMQ8ds,0,0.6875,person
72,2.6969697,0,0.37078652,1,2,5,FALSE,cuVdwiINes4OARq9,14.5,2,0,0,23,b,0.66060606,TRUE,0,cuVdwiINes4OARq9,0,0.80555556,person
73,2,0.03247505,0.5,0.33333333,3,3,FALSE,D6U6KSmHeEF1DBLc,14,3,0,0,20,r,0.8,TRUE,0,D6U6KSmHeEF1DBLc,260,0.47126437,person
74,2.60606061,0.02998737,0.38372093,0.5,4,4,FALSE,eHbQsfMWb79Gm2yW,6.25,4,0,0,7,r,0.67878788,TRUE,0,eHbQsfMWb79Gm2yW,170,0.36764706,person
75,2.06060606,0.05393669,0.48529412,0.33333333,9,3,FALSE,FQzrEFkvrwV0Nxsn,5.77777778,9,0,0,2,r,0.78787879,TRUE,0,FQzrEFkvrwV0Nxsn,266,0.26984127,person
76,1.78787879,0.14365681,0.55932203,0.24444444,10,3,FALSE,hyhpWIsyJ/VrApWE,6.6,10,0,0,3,r,0.84242424,TRUE,0,hyhpWIsyJ/VrApWE,482,0.23333333,person
77,2.6969697,0,0.37078652,1,2,5,FALSE,iV8488UVsMR9q7Eo,14.5,2,0,0,19,b,0.66060606,TRUE,0,iV8488UVsMR9q7Eo,0,0.80555556,person
78,2.6969697,0,0.37078652,1,2,5,FALSE,J34etyEcmGZ+8XsY,14.5,2,0,0,16,b,0.66060606,TRUE,0,J34etyEcmGZ+8XsY,0,0.80555556,person
79,2.72727273,0,0.36666667,0,1,4,FALSE,ja2wsDqpp5uk6muh,16,1,0,0,12,r,0.65454545,TRUE,0,ja2wsDqpp5uk6muh,0,0,person
80,2.66666667,0,0.375,1,2,4,FALSE,JOgrGeuJ9pSql4fj,12.5,2,0,0,22,r,0.66666667,TRUE,0,JOgrGeuJ9pSql4fj,0,0.73529412,person
81,2.63636364,6.31E-04,0.37931034,0.66666667,3,4,FALSE,MjNReJWmCswPBRWH,7.66666667,3,0,0,5,r,0.67272727,TRUE,0,MjNReJWmCswPBRWH,2,0.45098039,person
82,2.54545455,0.01761364,0.39285714,0.4,5,5,FALSE,O4ZkHA5Q4vp6uX5Z,8,5,0,0,24,b,0.69090909,TRUE,0,O4ZkHA5Q4vp6uX5Z,58,0.41052632,person
83,1.93939394,0.05592683,0.515625,0.5,5,3,FALSE,QO7hSIZREw71SdMi,11.8,5,0,0,9,b,0.81212121,TRUE,0,QO7hSIZREw71SdMi,406,0.39333333,person
84,1.84848485,0.13827561,0.54098361,0.2,6,3,FALSE,rqBezYHjGkhIePnX,9,6,0,0,32,b,0.83030303,TRUE,0,rqBezYHjGkhIePnX,586,0.28494624,person
85,2.15151515,0.01190927,0.46478873,0.66666667,6,3,FALSE,sQ3+/6hA9inL0Kx8,7.66666667,6,0,0,4,r,0.76969697,TRUE,0,sQ3+/6hA9inL0Kx8,58,0.34848485,person
86,2.21212121,0.00179473,0.45205479,0.33333333,3,4,FALSE,ua9ujgEFwULGkgta,11,3,0,0,29,b,0.75757576,TRUE,0,ua9ujgEFwULGkgta,12,0.46376812,person
87,2.63636364,6.31E-04,0.37931034,0.66666667,3,4,FALSE,uhqxGc73e2k0dAzh,7.66666667,3,0,0,11,r,0.67272727,TRUE,0,uhqxGc73e2k0dAzh,2,0.45098039,person
88,2.60606061,0.02998737,0.38372093,0.5,4,4,FALSE,VTEVmT8Cye9hDPij,6.25,4,0,0,6,r,0.67878788,TRUE,0,VTEVmT8Cye9hDPij,170,0.36764706,person
89,2.60606061,0.00292208,0.38372093,0.66666667,4,5,FALSE,w+S+ae3dduRvlie+,9,4,0,0,30,b,0.67878788,TRUE,0,w+S+ae3dduRvlie+,10,0.47368421,person
90,3.51515152,0,0.28448276,1,2,5,FALSE,x2IJ2vX3SVCt6tKq,4,2,0,0,17,r,0.4969697,TRUE,0,x2IJ2vX3SVCt6tKq,0,0.8,person
91,2.6969697,0,0.37078652,1,2,5,FALSE,XKzgFQ15bnQ0u7LQ,14.5,2,0,0,15,b,0.66060606,TRUE,0,XKzgFQ15bnQ0u7LQ,0,0.80555556,person
92,1.93939394,0.14524711,0.515625,0.1969697,12,4,FALSE,ygLc3M2yNcjSRC4N,5.08333333,12,0,0,33,b,0.81212121,TRUE,0,ygLc3M2yNcjSRC4N,752,0.21180556,person
93,2.3030303,8.48E-04,0.43421053,0,2,4,FALSE,yrV+xCuFe62+Z2xf,13.5,2,0,0,10,b,0.73939394,TRUE,0,yrV+xCuFe62+Z2xf,8,0.625,person
94,1.75757576,0.43763528,0.56896552,0.15,16,3,FALSE,zBoaMQbkV733rirQ,4.3125,16,0,0,1,r,0.84848485,TRUE,0,zBoaMQbkV733rirQ,1686,0.18206522,person
95,1.81818182,0.30407498,0.55,0.11029412,17,4,FALSE,Zbs1kDwql2fp8piZ,3.82352941,17,0,0,34,b,0.83636364,TRUE,0,Zbs1kDwql2fp8piZ,1254,0.18235294,person
,,,,,,,,,,,,,,,,,,,,,
,,,,0.570638478,4.588235294,,,,,,,,,,,,,,,,
